gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000033,Magic,3,5,20,0,4,5,5,2,6,3,0,0,4,5,15,L
22000033,Magic,4,14,22,3,6,12,12,4,11,6,2,1,2,3,43,L
22000033,Wizards,1,14,23,4,9,3,4,1,12,10,1,1,4,5,35,W
22000033,Wizards,2,12,23,1,6,0,0,1,7,6,2,0,3,8,25,W
22000033,Wizards,3,13,26,2,8,6,7,7,11,7,2,3,1,4,34,W
22000033,Wizards,4,8,25,1,9,2,2,4,4,4,1,0,5,9,19,W
22000034,Pelicans,1,6,25,1,12,3,4,5,12,4,3,1,2,2,16,L
22000034,Pelicans,2,10,23,1,1,10,11,3,11,4,3,0,1,2,31,L
22000034,Pelicans,3,13,25,3,7,3,4,2,8,5,4,1,1,8,32,L
22000034,Pelicans,4,7,21,0,4,5,10,3,12,2,1,2,4,4,19,L
22000034,Spurs,1,7,22,2,7,2,2,1,14,6,1,2,3,2,18,W
22000034,Spurs,2,11,23,5,12,0,0,0,8,9,1,2,4,8,27,W
22000034,Spurs,3,8,17,4,8,6,6,1,11,6,0,2,7,6,26,W
22000034,Spurs,4,12,27,0,9,0,0,2,10,5,3,4,1,7,24,W
22000035,76ers,1,8,20,3,9,5,5,1,11,8,1,4,5,4,24,L
22000035,76ers,2,8,23,2,9,8,10,5,9,3,2,1,6,5,26,L
22000035,76ers,3,8,16,4,8,2,4,1,6,6,5,0,9,7,22,L
22000035,76ers,4,9,20,3,11,1,3,1,5,7,1,0,1,3,22,L
22000035,Cavaliers,1,13,30,3,8,0,0,4,9,11,2,2,1,4,29,W
22000035,Cavaliers,2,14,26,4,8,3,4,3,8,10,4,3,4,8,35,W
22000035,Cavaliers,3,10,18,1,2,8,10,3,6,3,6,1,6,5,29,W
22000035,Cavaliers,4,11,17,1,5,2,2,1,11,7,1,0,5,5,25,W
22000036,Bucks,1,11,23,2,11,3,5,3,7,6,1,3,3,5,27,L
22000036,Bucks,2,8,24,1,8,1,2,2,10,5,2,0,3,6,18,L
22000036,Bucks,3,9,25,2,12,10,14,7,6,6,1,0,2,6,30,L
22000036,Bucks,4,13,23,2,7,7,8,5,4,7,3,2,3,4,35,L
22000036,Knicks,1,11,21,3,7,5,5,2,9,4,2,1,4,3,30,W
22000036,Knicks,2,9,21,5,7,8,10,1,14,8,2,1,2,2,31,W
22000036,Knicks,3,13,20,4,7,5,8,1,9,8,0,1,4,12,35,W
22000036,Knicks,4,13,23,4,6,4,4,4,6,7,1,1,5,6,34,W
22000037,Celtics,1,9,16,2,5,3,6,0,14,5,1,2,7,4,23,L
22000037,Celtics,2,13,20,4,8,2,2,1,5,8,5,2,4,1,32,L
22000037,Celtics,3,8,22,3,6,9,10,2,4,6,3,1,3,7,28,L
22000037,Celtics,4,10,21,0,4,4,6,3,11,2,4,2,4,5,24,L
22000037,Pacers,1,9,27,1,10,0,1,4,7,4,5,1,2,4,19,W
22000037,Pacers,2,12,20,3,6,3,3,2,5,8,1,1,5,3,30,W
22000037,Pacers,3,15,20,2,4,7,8,1,10,8,3,3,5,8,39,W
22000037,Pacers,4,9,21,1,6,1,3,1,7,3,2,2,4,5,20,W
22000038,Bulls,1,9,18,2,9,7,10,0,13,5,0,2,4,4,27,W
22000038,Bulls,2,12,24,4,8,1,1,2,14,8,0,2,10,4,29,W
22000038,Bulls,3,14,26,8,14,5,6,3,11,10,3,1,6,7,41,W
22000038,Bulls,4,9,18,3,10,10,14,2,9,4,1,1,4,6,31,W
22000038,Warriors,1,9,26,2,9,4,5,2,8,7,3,1,4,8,24,L
22000038,Warriors,2,14,31,7,15,1,2,1,9,8,5,1,1,2,36,L
22000038,Warriors,3,9,23,4,12,11,12,2,7,5,6,2,5,4,33,L
22000038,Warriors,4,10,24,5,11,11,11,5,7,5,3,0,2,9,36,L
22000039,Kings,1,12,19,3,7,6,8,1,11,9,1,3,1,2,33,L
22000039,Kings,2,7,20,1,4,5,6,1,8,3,1,0,4,6,20,L
22000039,Kings,3,9,20,3,4,4,5,1,7,2,3,0,7,11,25,L
22000039,Kings,4,8,17,3,8,3,6,0,10,7,0,1,3,4,22,L
22000039,Suns,1,11,23,5,8,1,1,0,7,8,0,0,1,4,28,W
22000039,Suns,2,11,23,3,8,3,3,3,10,10,1,1,2,4,28,W
22000039,Suns,3,12,24,4,11,6,6,4,10,8,2,2,5,6,34,W
22000039,Suns,4,12,24,2,8,0,1,1,9,8,3,0,1,6,26,W
